year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,selling_price,sale_date
2012,BMW,3 Series,328i,sedan,automatic,wba3a5c58cf341126,fl,3.7,34536.0,black,beige,"""braman motorcars""",21800,20800,Thu Jun 04 2015 02:40:00 GMT-0700 (PDT)
2012,BMW,3 Series,328i,sedan,automatic,wba3a5c55cf342508,ca,4.1,52887.0,silver,black,"""mercedes benz of temecula""",20200,18000,Wed Jun 03 2015 05:15:00 GMT-0700 (PDT)
2012,BMW,3 Series,328i,coupe,automatic,wbake5c54ce755977,ca,3.7,12711.0,black,black,"""mars auto""",23400,19500,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
2012,BMW,3 Series,328i,wagon,automatic,wbaut9c5xca192401,or,3.9,31170.0,gray,black,"""freeman motor company inc""",25500,24500,Tue Jun 02 2015 05:30:00 GMT-0700 (PDT)
2012,BMW,5 Series,550i,sedan,automatic,wbafr9c5xcdx78750,fl,3.0,77642.0,black,black,"""financial services remarketing (lease)""",29400,28400,Thu Jun 04 2015 05:00:00 GMT-0700 (PDT)
2012,BMW,5 Series,528i xDrive,sedan,automatic,wbaxh5c58cdw05289,nj,4.4,30349.0,white,black,"""hudson toyota""",26800,26400,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
2011,BMW,3 Series,335d,sedan,automatic,wbapn7c59ba779554,mo,3.5,89861.0,black,black,"""o'fallon motorsports""",15850,15600,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
2011,BMW,3 Series,328i,convertible,automatic,wbadw7c57be443748,ca,4.3,39827.0,white,beige,"""sullivan luxury cars llc""",21800,24000,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
2011,BMW,3 Series,335i,coupe,automatic,wbakg7c59be263675,tx,4.0,50457.0,white,red,"""hopper motorplex inc""",22000,23000,Wed Jun 03 2015 03:15:00 GMT-0700 (PDT)
2011,BMW,3 Series,328i xDrive,sedan,automatic,wbapk5c53ba995784,nj,3.4,39917.0,black,brown,"""bmw of bayside""",18950,17600,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
2011,BMW,3 Series,328i,sedan,automatic,wbaph7g5xbnn05905,fl,3.4,57017.0,blue,gray,"""braman cadillac""",15600,17000,Thu Jun 04 2015 02:40:00 GMT-0700 (PDT)
2011,BMW,X3,xDrive35i,suv,automatic,5uxwx7c50bl731520,ca,3.1,65819.0,black,beige,"""bmw of riverside""",22600,22000,Tue Jun 02 2015 05:30:00 GMT-0700 (PDT)
2011,BMW,7 Series,740Li,sedan,automatic,wbakb4c56bc574585,fl,3.2,41290.0,blue,—,"""financial services remarketing (lease)""",31500,29000,Thu Jun 04 2015 05:00:00 GMT-0700 (PDT)
2010,BMW,3 Series,328i,sedan,automatic,wbaph5g50anm70228,ca,3.4,132487.0,blue,gray,"""high bid trading co inc""",8200,8400,Wed Jun 03 2015 05:15:00 GMT-0700 (PDT)
2010,BMW,X5,xDrive48i,suv,automatic,5uxfe8c55al311245,ga,3.6,76793.0,blue,beige,"""one source autos inc""",21400,19600,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2009,BMW,3 Series,328i,sedan,automatic,wbaph73559a173444,fl,2.5,47752.0,white,black,"""braman motors""",13950,14100,Thu Jun 04 2015 02:40:00 GMT-0700 (PDT)
2009,BMW,3 Series,328i xDrive,sedan,,wbapk53539a512594,nj,2.7,61552.0,black,red,"""bmw of bayside""",13850,14250,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
2014,BMW,5 Series,535d,sedan,automatic,wbaxa5c52ed689844,wa,4.8,7580.0,blue,—,"""financial services remarketing (lease)""",41200,41000,Wed Jun 10 2015 05:30:00 GMT-0700 (PDT)
2009,BMW,7 Series,750Li,sedan,,wbakb83599cy60464,wi,4.4,68442.0,black,black,"""harry kaufmann motor cars inc""",25700,26250,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2009,BMW,X5,xDrive48i,suv,automatic,5uxfe83519l309200,wa,3.2,58262.0,black,brown,"""toyota of kirkland""",21600,24600,Wed Jun 10 2015 06:20:00 GMT-0700 (PDT)
2009,BMW,X5,xDrive30i,suv,,5uxfe43559l260009,nj,3.5,128849.0,black,black,"""j & s auto haus""",12950,14750,Wed Jun 03 2015 02:00:00 GMT-0700 (PDT)
2008,BMW,X5,4.8i,suv,automatic,5uxfe83558l161888,nj,2.6,174246.0,gray,black,"""bergen car company inc""",9475,10400,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
2008,BMW,3 Series,335i,coupe,automatic,wbawb73548p039534,ca,3.5,70211.0,gray,black,"""toyota walnut creek""",14150,15500,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
2008,BMW,7 Series,750Li,sedan,automatic,wbahn83588dt87750,ca,2.9,124763.0,black,black,"""stg auto group""",9500,7800,Wed Jun 03 2015 05:00:00 GMT-0700 (PDT)
